specialty,slug,presentation,target_condition,difficulty,mode,reference_text
emergency,dengue,"Fever, headache and body aches for 3 days","Dengue fever with warning signs",2,osce_full,"WHO SEARO dengue guidelines (2009/2011): dengue fever + warning signs (abdominal pain, persistent vomiting, mucosal bleed, lethargy, liver enlargement, rising haematocrit); no PNPK exists on JDIH — SK KLB 406/2004 only. 3 phases: febrile, critical (24-48h), recovery. Tourniquet test, NS1, IgM/IgG, platelets, haematocrit."
internal_medicine,typhoid,"Sustained fever and abdominal discomfort for 5 days","Typhoid fever",2,osce_full,"Pedoman Pengendalian Demam Tifoid Kemenkes (KMK 364/2006); WHO typhoid guidelines. Step-ladder fever, coated tongue, rose spots, hepatosplenomegaly, relative bradycardia; complications: intestinal perforation/bleeding; blood culture gold standard, Widal low specificity; ceftriaxone/azithromycin."
paediatrics,acute_gastroenteritis,"Watery diarrhoea and vomiting in a toddler","Acute gastroenteritis with dehydration",1,anamnesis,"WHO diarrhoea treatment guidelines (ORT, zinc); no PNPK on JDIH. Dehydration assessment: WHO scale (some/severe), ORS + zinc 10-20mg 10-14 days, danger signs (lethargy, sunken eyes, reduced skin turgor, dry mucous membranes, decreased urine); feeding must continue."
paediatrics,febrile_seizure,"Convulsion in a febrile toddler","Febrile seizure",1,anamnesis,"No PNPK on JDIH — standard guidance: simple vs complex febrile seizure (age 6mo-5y, generalised <15 min, single in 24h, no focality), risk factors for recurrence, red flags for meningitis (neck stiffness, petechiae, prolonged seizure, focal), first aid, no routine EEG/neuroimaging for simple febrile seizure."
neurology,acute_stroke,"Sudden weakness of the right side of the body","Acute ischaemic stroke in thrombolysis window",3,osce_full,"PNPK Stroke (KMK 304/2026) — https://jdih.kemkes.go.id/documents/keputusan-menteri-kesehatan-nomor-hk0107menkes3042026 ; AHA/ASA 2019. FAST, NIHSS, non-contrast CT head within 20 min of arrival, IV thrombolysis window 4.5h (contraindications: recent surgery/bleeding, INR>1.7, BP>185/110), door-to-needle 60 min, dysphagia screen before oral intake."
emergency,hypertensive_emergency,"Severe headache and blurred vision with very high blood pressure","Hypertensive emergency",2,osce_full,"PNPK Hipertensi Dewasa (KMK 4634/2021) — https://jdih.kemkes.go.id/documents/keputusan-menteri-kesehatan-nomor-hk0107menkes46342021 ; JNC 8 / ESC 2018. Hypertensive emergency = BP>180/120 with acute end-organ damage (encephalopathy, ICH, ACS, pulmonary oedema, aortic dissection, AKI, retinopathy); IV agents (nicardipine, labetalol, nitroprusside), MAP reduction max 25% in first hour; do NOT lower too fast except aortic dissection."
emergency,leptospirosis,"High fever, muscle pain and jaundice after flooding","Leptospirosis",3,osce_full,"No PNPK on JDIH — WHO leptospirosis guidance + Indonesian outbreak reports. Weil's disease triad: fever, jaundice, renal failure; exposure history (flood water, rats, farming), conjunctival suffusion, calf tenderness; complications: pulmonary haemorrhage, AKI, myocarditis; doxycycline/ceftriaxone, penicillin."
emergency,bacterial_meningitis,"High fever, severe headache and neck stiffness","Bacterial meningitis",3,osce_full,"No PNPK on JDIH — WHO meningitis guidance. Classic triad: fever, neck stiffness, altered consciousness; Kernig/Brudzinski signs, photophobia, petechiae/purpura (meningococcal), bulging fontanelle in infants; LP before antibiotics unless contraindication (then empiric antibiotics first); empiric ceftriaxone + vancomycin, dexamethasone adjunct."
emergency,traumatic_brain_injury,"Head injury with loss of consciousness","Traumatic brain injury",2,osce_full,"PNPK Cedera Otak Traumatik (KMK 1600/2022) — https://jdih.kemkes.go.id/documents/keputusan-menteri-kesehatan-nomor-hk0107menkes16002022 . Mechanism + time, loss of consciousness duration, amnesia, vomiting, seizures, anticoagulants, alcohol; GCS, pupils, focal deficits, Cushing triad, CSF leak (rhinorrhoea/otorrhoea), racoon eyes/Battle sign; CT head criteria, neurosurgery referral."
paediatrics,stunting,"Short stature and poor growth in a 3-year-old","Stunting (chronic malnutrition)",2,anamnesis,"PNPK Stunting (KMK 1928/2022) — https://jdih.kemkes.go.id/documents/keputusan-menteri-kesehatan-nomor-hk0107menkes19282022 . Definition: height-for-age < -2 SD (WHO growth standards); maternal interview (antenatal care, birth weight, exclusive breastfeeding 0-6mo, complementary feeding, recurrent infections, WASH, socio-economic, food security); growth chart serial measurements; prevention: 1000 HPK (first 1000 days of life)."
